pageurl,crawl_timestamp,job_title,category,company_name,city,post_date,job_description,job_type,job_board,geo,state,salary_offered
https://www.seek.com.au/job/36027858,4/20/2018,Freight Handler,"Manufacturing, Transport & Logistics",Zoom Recruitment & Training,Sydney,4/19/2018,Our clienoomrecruitment.com.au For Further information you can contact our Arndell Park Team on 02 8834 1500. *Please note: only applicants meeting the above criteria will be considered for this role*,Casual/Vacation,seek,AU,Parramatta & Western Suburbs,$34 - $39 p.h.
https://www.seek.com.au/job/36028164,4/20/2018,Mortgage Broker Assistant,Banking & Financial Services,Howitt Partners,Melbourne,4/19/2018,"Small but busy and very successful mortgage broking business in South Yarra is seeking a part time/casual office assistant for immediate start.? Ideally you will have some background in the banking/finance/accounting sector, with branch or back office experience a good start, and an understanding of mortgage documents and settlements an advantage.? You must demonstrate the patience and tenacity required to deal with the banks on a daily basis and an ability to get things done. Common sense and a willingness to learn new skills is a must, as is the preparedness to do whatever job is required in a three person office, from taking out the rubbish to meeting top clients.? Good communication skills, both written and verbal, are essential, plus the ability to update the company?s Facebook page and undertake marketing strategies.? We are extremely customer service focused and the successful candidate will also be happy to do what?it takes to keep our clients happy; a strong work ethic is mandatory.? Drivers licence essential. We require around 20 hours per week but this will vary and we believe flexibility is a two-way street.? However, an ability to work increased hours during at least some school holidays is a must. ?Pay is $25 per hour. ?Your co-workers are brother and sister who have strong personalities and an unguarded rapport.? The office culture is extremely un-PC and lunch is our favourite topic of conversation.? We can teach you many things but the right personality fit is what will make the position work very well for everyone. Please send your resume and covering letter to info@howittpartners.com.au",Part Time,seek,AU,CBD & Inner Suburbs,$20 - $29.99 per hour
https://www.seek.com.au/job/36027739,4/20/2018,Electrician - RIW,Trades & Services,Protech NSW,Sydney,4/19/2018,"Protech are partnering with this major JV in Sydney's Hills district for a large rail infrastructure project. This project is looking to run for an additional 12 months and we are currently looking to increase the electrical workforce on-site significantly. Your duties will include testing, commissioning, but will also involve cable tray work and cable hauling. What's in it for you.. Overtime - generally 10 hour days plus sat Some night work available (must be avail for days also) $49.73 an hour (inclusive of travel and tool allowance) Immediate starts What you will need.. ? Grade A Electrical Licence RIW card A MUST (or willing to obtain ASAP!!) Working at Heights, EWP and Confined Space tickets well looked upon Own transport - some sites are very difficult to get to on public transport All interviews for these roles will be held in Seven Hills and include drug and alcohol screening and a physical agility test. To apply for this role please send through your application using the Apply Now Link or call Amy during office hours on (02) 8825 8000. ? ? ?",Contract/Temp,seek,AU,North West & Hills District,"$45 per hour, Benefits: Overtime, Travel %"
https://www.seek.com.au/job/36028885,4/20/2018,IT TECHNICAL SPECIALIST - Microsoft Exchange & Office 365,Information & Communication Technology,Eighty20 Solutions,Sydney,4/19/2018,"Abouure Cloud Scripting experience in VB/PowerShell or other scripting languages Experience in windows server Strong Experience in Windows 87 Windows 10 and SOE technologies Strong interpersonal skills, written and verbal communication skills Strong relationship building skills. Mailbox Remediation (special characters, UPN, mS-DS-ConsistencyGUID)",Contract/Temp,seek,AU,Parramatta & Western Suburbs,"$150,000 - $179,999"
https://www.seek.com.au/job/36027703,4/20/2018,"Fulltime Chef with Asian cooking using 17"" wok with handle",Hospitality & Tourism,Chinchin's At Kotomoon,Melbourne,4/19/2018,"About the business We are modern South East Asian Restaurant with Asian cooking style using wok with handles, use nothing but the freshest quality ingredients. We have been served our local customers since 2005 with 7 nights a week and now extending our opening hours for lunch time from Tuesday to Sunday. We are looking at expanding further in the future but need the right people to help us grow. About the role To be successful in this role, you must possess the following: ability to work a 6 day/night roster passion and prior experience with Asian style cooking using 17 inch wok with handle great English communication skills addition communication skills in Vietnamese or Mandarin ability to produce high quality food in the busiest of times ability to come up with new specials a keen eye on detail and a great supporter for the head chef great knowledge of food hygiene Benefits and perks In return, you will become a part of an exciting established business which you will play a big role in helping expand. Be able to learn from 30-year-experience head chef about almost anything u need to work in an Asian restaurant.?You will be able to grow with the business as well with future opportunities. We will also pay industry standards $60k to $70k p.a plus superannuation and above if need be to attract the right to of applicants. Skills and experience Asian cooking skill using 17 inch wok with handle is a must. Additional communication skills in Vietnamese or Mandarin to be able to communicate with the head chef. At least 1 year of experience working in the similar position at an Asian Restaurant.",Full Time,seek,AU,CBD & Inner Suburbs,"$60,000 - $69,999 plus super"
https://www.seek.com.au/job/36025551,4/20/2018,Learning & Development Specialist,Human Resources & Recruitment,West Recruitment,Sydney,4/19/2018,"Our clien region in over 650 locations. An internal opportunity has become available for an experienced and passionate Group Learning & Development Specialist to join the business on a 12-month Fixed Term assignment at their Inner West located Head Office. Reporting to the Group Human Resources Manager, the Group Training & Development Specialist is responsible for enhancing the competencies of individual team members by creating, implementing, delivering and monitoring training and induction programs within the Group via the LMS which will boost team member?s workplace performance in alliance with company?s core values. Main responsibilities will include: Develop, implement, deliver and monitor training programs within Group Develop training manuals, multimedia visual aids, and other materials on LMS Maintain and manage LMS and data integrity Present information using a variety of instructional techniques and formats such as role playing, simulations, team exercises, group discussions videos and lectures Assess training needs by analysing feedback forms and presenting recommendations Deliver Train the Trainer session to senior management Develop individual training programmes/plans that meet the skills gap identified Conduct effective induction and orientation sessions for all new team members in store Supply trainers and assessors with material and students with course information Build solid cross-functional relationships Daily administration duties The desired candidate will possess: Current Certificate IV in Training & Assessment Degree qualified Exposure in using Articluate or Captivate software 3+ years? experience in content design and working with Learning Management Systems ideally within a retail environment Previous experience in developing digital and offline instructional modules and programs of learning for a professional fast paced environment Proven experience in identifying capability gaps and developing training plans to address. Strong attention to detail, design and project management skills Ability to develop creative and fair assessment methods. Ability to deliver the best learning experience while being team and customer service orientated. To apply online, please click on the link below. Alternatively, to discuss this opportunity further please contact Helen Katsoudas on 02 9689 8908. Follow West Recruitment on LinkedIn to receive the latest industry news and job updates at http://www.linkedin.com/company/west-recruitment-consulting Please submit your resume in Word format only.",Contract/Temp,seek,AU,"CBD, Inner West & Eastern Suburbs",$90k - $95k p.a. + Super
https://www.seek.com.au/job/36029192,4/20/2018,Clerical/Admin support,Administration & Office Support,Hallis,Sydney,4/19/2018,"Located in CBD- close to transport Modern offices? $32.76 per hour?+ Super 6 month assignment with view to extend? ? The Role We are looking for a file build consultant to help support a busy finance team. This role will allow you to use your administrative skills to your highest ability while assisting a busy team in a fast paced environment. Your main duty will be to ensure comprehensive client files are constructed for review and remediation analysts or managers. To be successful you will need to have the following attributes: ? relevent?experience in a similar role with a financial company A high level of personal organisational skills Very strong attention to detail Strong financial acumen Thinks and acts strategically Immaculate communication and interpersonal skills, the ability to make the complex simple Cognitive function; high abstract and conceptual reasoning and problem solving abilities Demonstrated time management skills with the ability to prioritise and complete work to deadlines Can work collaboratively in a team Qualifications such as certificate or diploma in financial services or equivalent is desirable but not mandatory. Must be a perminent?resident? ? If this sounds like the role for you; apply NOW!",Contract/Temp,seek,AU,"CBD, Inner West & Eastern Suburbs",32.76
https://www.seek.com.au/job/36026026,4/20/2018,Senior Business Officer,Government & Defence,"Department of Economic Development, Jobs , Transport and Resources",Melbourne,4/19/2018,"SENIOR BUSINESS OFFICER $93,867 - $113,572 (Plus Superannuation) Fixed Term - 12 months Usual hours of work: Full Time (flexibility may be available) Usual work location: Melbourne CBD (flexibility may be available) The position of Senior Business Officer forms a part of the Regional Programs and Recovery branch, Regional Development Victoria (RDV) division within the Employment, Investment and Trade group. The Employment, Investment and Trade Group delivers programs and services to grow the Victorian economy.? Its focus is on creating jobs and raising incomes through industry development, targeted investment and increasing the export value of Victorian firms. Reporting to the Business Manager, you will be responsible for the effective implementation and efficient operation of various corporate and administrative functions within Regional Development Victoria. To be successful in this role, you will?have proven ability to undertake all aspects of project management, you will have a client centric mind-set, ensuring the needs of the client are always at the centre of service design, delivery, decision-making and continuous improvement initiatives as well as being able to initiate and maintain open, collaborative relationships with team members, RDV Clients, business partners and departmental clients.? A relevant tertiary degree in business, commerce and/or accounting along with certification and/or experience working with LEAN / Six Sigma, or other continuous improvement methods would be well regarded. For a confidential discussion, please call Daniel Slusarek on 03 9027 5435. For further information on the position, please see the attached position description.? To apply, please click the ?Apply Now' button below.? . Applications close at midnight on 3rd May 2018 and must address the Key Selection Criteria outlined in the Position Description.",Full Time,seek,AU,CBD & Inner Suburbs,"$93,867 - $113,572"
https://www.seek.com.au/job/36025596,4/20/2018,Level 2 Helpdesk Consultant - [CURRENT SECURITY CLEARANCE REQUIRED!],Information & Communication Technology,Edison Talent,Melbourne,4/19/2018,"Dee/type of clients you have supported.? Core hours support only - which means no after hours / oncall rosters! Again, please only apply if you have Clearance and can start work in Melbourne within 2 weeks. This is an initial 6 month contract on hourly rates to a maximum fixed rate of $45/hr inc Super ($1,800/wk) ? Please ensure to write in your application your Security Clearance Status. Not mentioning this will result in your application being rejected. Contact: Tom McGruther tom@edisontalent.com.au 0411404469 STOP - this ad mentions five times that you MUST have Security Clearance. Please take a minute to think about this before clicking apply. Not exactly sure?what it is? Then you don't have it.",Contract/Temp,seek,AU,CBD & Inner Suburbs,$45 per hour inc Super
https://www.seek.com.au/job/36027988,4/20/2018,Senior SAP Basis Support Consultant - based anywhere - Melbourne - Perth -Sydney,Information & Communication Technology,SAPTURE INTERNATIONAL,Sydney,4/19/2018,"We are looking for a Senior SAP Basis Support Consultant Position Purpose: You will be responsible for the development, maintenance and enhancement of SAP Basis for all the clients serviced customers.? Working closely with customers you are responsible for identifying requirements and recommending solution options based on available technologies and be able to operate in the SAP environment to facilitate transitions and anticipate organisation impacts. ? In this position you are an integral part of a multi-disciplinary team to ensure that goals and objectives of SAP BASIS requests are accomplished within prescribed time frames to guarantee client satisfaction. ? Key Responsibilities ? Provide BASIS subject matter expertise and implementation support to all customers To advise, guide, develop and implement business applications aligned with the business needs and in accordance with standard SAP best practices and other associated processes. To constantly monitor and improve the effectiveness of the customer?s business systems relative to end user experience and the overall workflow required to efficiently handle day-to-day operations To analyse, support, recommend suggestions for improvements, and provide feedback Collaborate with the Managed Services team and wider consulting network, in supporting BASIS, NetWeaver, etc Play an active role in identifying innovative improvements to the customer's business process, implemented solutions/systems and internalsupport processes ? Content Excellence: Ability to work closely with clients to analyse, qualify and confirm business requirements Design and implementation of full solutions Understands the general strategic and operational dimensions of the relevant industry and applies this to the relevant solution Can lead functional or technical design workshops Can explain the implementation methodology and relate it to different scenarios where it has been used Is able to take client needs and translate them into an appropriate technical solution Identify integration issues and develop solutions to these issues Can design and adjust solution within the business context Strong stakeholder management and engagement skills, knows the key people and understands their roles both within the project and the company as a whole Delivery Excellence: Coach and develop skills within a project team Understands delivery within a fixed price model and able to operate effectively within those constraints Can take ownership of planning own time to ensure project milestones are met Able to take an issue, then plan and delivery a solution using own initiative, with little guidance Identifies and escalates issues and risks within the project structure Can build strong relationships with consultants within the project Able to receive feedback/coaching on performance from other members of the team positively Client Development: Ability to establish strong relationships with customers Ability to contribute technical or procedural sections to proposals Ability to identify and escalate business development opportunities ? Critical Knowledge, Skills & Experience ? Experience on at least 3 full end-to-end SAP implementations across multiple industries Excellent functional knowledge and gap analysis, understanding in detail how the business operates to ensure the best solutions provided for our customers. Excellent analytical, trouble-shooting skills, passionate in analysing customer's issues as well as to build and improve existing processes. Strong experience implementing change and testing of SAP systems. Excellent communication, customer service and time management skills Strong presentation skills - Able to own the production and delivery of a presentation to all levels of an organisation Ability to conduct one-to-one interviews with middle managers Workshop experience and can contribute well Uses a broad range of consultancy tools when delivering work Uses a set of basic consulting tools Strong listening skills Customer centric, able to collaborate with customers effectively, and have a strong desire to excel. Self-starter, must be able to work independently as well as a team player and can manage own workload. Excellent skills to manage multiple customers concurrently, work effectively under pressure and ability to resolve assigned support while monitoring closely existing requests ensuring customers are always kept up to date and informed throughout the support lifecycle. Flexible with out of hours support for our customers ? Key Qualifications, Training & Certifications ? Relevant Tertiary education highly desirable Minimum 5 years SAP preferably in a multi-customer environment Knowledge of SAP Basis layer, Unix, NT , Oracle Good understanding of interfaces and related issues Certification in ITIL would be beneficial but not essential ?",Full Time,seek,AU,"CBD, Inner West & Eastern Suburbs",$120K -$150K ++ depending on experience
